Date,Open,High,Low,Close,Volume
2012-01-17,23.2225,23.8034,23.1769,23.5793,2771345.1732756
2012-01-18,23.7094,24.4343,23.5134,24.3886,2733894.8242657
2012-01-19,24.5678,24.6328,24.1461,24.3359,3224018.9266285
2012-01-20,24.3693,24.5933,24.1126,24.4686,1456047.901382
2012-01-23,24.415,24.8315,24.2252,24.8315,1621032.9171036
2012-01-24,24.8236,24.9633,24.5336,24.5995,1565803.0979775
2012-01-25,24.8974,24.9088,24.2507,24.3693,1156885.5275918
2012-01-26,24.35,24.5485,23.9747,24.3693,4547364.359097
2012-01-27,24.3034,24.3297,23.9747,24.0731,1978505.761982
2012-01-30,24.0679,24.3693,23.8754,24.3693,1328377.8088914
2012-01-31,24.4484,25.0274,24.1838,24.1838,2142579.2142675
2012-02-01,24.4879,24.8622,24.3359,24.8622,1783103.4334994
2012-02-02,24.929,25.6092,24.8315,25.6092,1655961.3877433
2012-02-03,25.6127,26.0818,25.3772,25.82,1463648.8154769
2012-02-06,25.82,25.9377,25.509,25.8859,1091749.1420341
2012-02-07,26.0168,26.0423,25.2585,25.6469,1803945.3470696
2012-02-08,25.0274,25.7462,25.0274,25.5485,1852894.3689371
2012-02-09,25.5941,25.7524,24.4879,24.8315,2513269.1599542
2012-02-10,24.7119,24.8789,23.9282,24.4343,2035009.0386425
2012-02-13,24.8315,24.8315,23.8807,24.3693,854933.8379689
2012-02-14,24.3693,24.3693,23.7094,23.7094,1639170.8672227
2012-02-15,23.9615,24.0995,23.6452,23.8166,973473.50168513
2012-02-16,23.7094,24.1988,23.5529,23.7094,1478616.2091252
2012-02-17,24.1733,24.284,23.9211,24.2383,1431765.7178149
2012-02-20,24.3693,24.6258,24.3693,24.3693,463871.98582697
2012-02-21,24.4343,24.6197,24.0397,24.0872,575149.86891136
2012-02-22,24.1733,24.3034,23.0784,23.5793,2874393.948736
2012-02-23,23.6452,23.8623,23.2041,23.2041,1481710.5174684
2012-02-24,23.5003,23.6057,23.2753,23.5003,766942.36066551
2012-02-27,23.5134,23.6382,23.1242,23.3807,644377.47863009
2012-02-28,23.415,23.7094,23.415,23.6136,748628.01562428
2012-02-29,23.835,23.8438,23.1838,23.3957,1721228.6469529
2012-03-01,23.0662,23.2691,23.0662,23.2691,1510806.5753613
2012-03-02,23.3165,23.7366,23.053,23.053,1639627.2179567
2012-03-05,23.2225,23.3491,23.053,23.3165,1661275.9960415
2012-03-06,23.1971,23.567,22.9097,23.0855,1274047.0348521
2012-03-07,22.9203,23.3755,22.7226,23.3165,1346469.0997085
2012-03-08,23.3693,23.9554,23.2893,23.8754,1789962.3508898
2012-03-09,23.9018,23.9668,23.7366,23.7366,1684438.3563612
2012-03-12,23.705,23.8104,23.6241,23.7436,1160753.6975287
2012-03-13,23.8166,24.0793,23.7841,24.0731,1744742.659085
2012-03-14,24.2383,24.8622,24.2049,24.6988,2172482.1366749
2012-03-15,24.5547,24.8315,24.2699,24.3886,1396888.4586041
2012-03-16,24.5011,24.6856,24.4026,24.5749,2462646.0933744
2012-03-19,24.6328,24.9228,24.2585,24.8974,953958.53314184
2012-03-20,24.7638,24.8789,24.2699,24.4343,2093149.9429991
2012-03-21,24.3693,25.0933,24.3693,25.0274,2826495.3301788
